trdmn	mkt_rf	smb	hml	umd	rmw	cma	rf	smb_equal	hml_equal	umd_equal	rmw_equal	cma_equal
1994-02	-0.005733448	-0.00979825	-0.030990519	-0.026590251	0.0096924566	0.0048795538	0.008719	-0.027549453	-0.046225405	-0.036616959	0.0427227805	0.0053676741
1994-03	-0.140417362	0.1011218906	0.0445735689	0.1881391873	-0.15574424	-0.070236096	0.008719	0.1009953872	0.0621829457	0.1367931461	-0.104735895	-0.03121357
1994-04	-0.168803863	0.0528664209	0.0374895121	0.0083276498	0.0116578088	-0.009700877	0.008719	0.0494970947	0.0323197487	-0.022157113	-0.005095	0.0162540851
1994-05	-0.050044268	0.0033944821	-0.007816317	-0.016820707	0.0545802258	-0.036817085	0.008719	0.0221255641	0.0146680578	0.0333559842	0.0234531577	-0.028613077
1994-06	-0.1576434	-0.013240454	0.0164682341	0.0263821754	0.0261935851	0.0188870606	0.008719	-0.009669261	0.0219911751	0.0442008029	0.0149113073	0.0202822004
1994-07	-0.245339974	-0.118368638	0.1057715457	-0.1164324	0.0858730237	-0.064570423	0.008719	-0.109548621	0.0955717946	-0.05829226	0.0758162661	-0.079092921
1994-08	1.126362308	0.3742695952	-0.404816759	0.4866916154	-0.338384926	0.5241013468	0.008719	0.3186502248	-0.299477275	0.2762475927	-0.395808743	0.6088785368
1994-09	0.0507596402	0.1734066461	0.1473678465	-0.006934712	0.0074901222	0.0342198546	0.008719	0.1572463032	0.1240171083	-0.068124552	-0.008037205	0.0796297699
1994-10	-0.209376151	0.0388917038	-0.002298847	0.0098859044	-0.014199637	0.0336856517	0.008719	0.0282517408	0.0039894648	0.0209442408	-0.018063147	0.0276380345
1994-11	0.0285504837	0.0192041273	-0.032660917	0.0926601325	-0.023717651	0.0216823422	0.008719	0.0231455647	-0.030053208	0.0893216715	-0.027545777	0.0269549824
